,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
8663,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Crowdsourceress: Get Smart, Get Funded, and Kickstart Your Next Big Idea (unabridged) (Unabridged)",,Alex Daly,"Business, Computer Technology, Nonfiction",Hachette Audio,2017
8665,Digital,OverDrive,EBOOK,2018,1,6,"All the Pretty Horses: The Border Trilogy, Book 1",,Cormac McCarthy,"Fiction, Mystery, Western","Random House, Inc.",2010
8673,Digital,OverDrive,EBOOK,2018,1,3,"Teach Me a Lesson: The Naughty Corner Series, Book 2",,Jasmine Haynes,"Erotic Literature, Fiction, Romance","Penguin Group (USA), Inc.",2014
8678,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Confidence Game: Why We Fall for It . . . Every Time (unabridged) (Unabridged),,Maria Konnikova,"Nonfiction, Psychology, Sociology",Books on Tape,2016
8679,Digital,OverDrive,EBOOK,2018,1,1,The Christmas Boot,,Lisa Wheeler,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Penguin Group (USA), Inc.",2018
8682,Digital,OverDrive,AUDIOBOOK,2018,1,1,"In Harm's Way: Benjamin Pratt and the Keepers of the School Series, Book 4 (unabridged) (Unabridged)",,Andrew Clements,"Juvenile Fiction, Juvenile Literature",Simon & Schuster - All Library,2013
8684,Digital,OverDrive,AUDIOBOOK,2018,1,1,History Is Wrong (Unabridged),,Erich von Daniken,"History, New Age, Nonfiction","Tantor Media, Inc",2014
8687,Digital,OverDrive,EBOOK,2018,1,2,"The Longest Day: Seekers: Return to the Wild Series, Book 6",,Erin Hunter,"Fantasy, Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2016
8691,Digital,OverDrive,EBOOK,2018,1,4,"Troubled Bones: Crispin Guest Medieval Noir Series, Book 4",,Jeri Westerson,"Fiction, Historical Fiction, Mystery",INscribe Digital,2018
8695,Digital,Freegal,SONG,2018,1,1,The Spirit of '75 (featuring Mustafa Akbar),,Fort Knox Five,,,
8696,Digital,OverDrive,EBOOK,2018,1,2,Sugar and Spice,,Fern Michaels,"Fiction, Romance","Random House, Inc.",2009
8698,Digital,OverDrive,AUDIOBOOK,2018,1,1,Say What You Will (Unabridged),,Cammie McGovern,"Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2014
8706,Digital,OverDrive,EBOOK,2018,1,2,"The Queen's Fool: The Tudor Series, Book 4",,Philippa Gregory,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2014
8708,Digital,OverDrive,EBOOK,2018,1,2,"The Witch Must Burn: Dorothy Must Die Series, Book 0.2",,Danielle Paige,"Fantasy, Short Stories, Young Adult Fiction",HarperCollins Publishers Inc.,2014
8709,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Paris Secret (Unabridged),,Karen Swan,"Fiction, Literature, Romance","Dreamscape Media, LLC",2017
